Milliseconds,X,Y,Z,ground truth
4320,0.36953035,-0.13593411,-0.3820264,no
4341,1.2156116,0.014093163,-0.44848385,no
4360,1.306561,0.2481339,-1.7521334,no
4380,0.5003848,1.0580614,-3.3141608,no
4401,0.76813096,0.9686973,-0.024348084,no
4420,0.12752202,0.52034485,4.1671796,no
4441,-0.53816366,0.3455584,4.2696443,no
4461,-0.67167836,0.78982466,1.5115558,no
4480,-0.24191591,1.0454987,0.6769738,no
4501,0.3531531,1.2009734,-0.008603451,no
4520,0.11541339,1.123012,-1.3963983,no
4540,-0.15482718,1.0035824,-0.7655823,no
4561,-0.21170214,0.82508427,0.34653956,no
4580,-0.40324616,0.5604424,0.87536633,no
4600,-0.35168004,0.2103975,1.5939317,no
4621,-0.13382149,0.01397296,0.4411529,no
4640,0.07017111,0.092796005,-1.1981506,no
4660,0.64516956,0.47823834,-3.065163,no
4681,1.0385488,0.31106085,-2.4483087,no
4700,0.25635064,0.26992425,-2.2479382,no
4720,0.929671,-0.5318397,-1.3074787,no
4740,0.44692466,-0.5085159,-0.21363616,no
4761,0.49142954,-0.7410053,0.28906208,no
4780,-0.7832629,-0.30695665,0.34301576,no
4800,-1.0812528,-0.3523669,0.44159022,no
4821,-0.90169406,-0.50552124,1.1634693,no
4840,-0.24858761,-0.42409638,0.79616535,no
4860,1.1592535,-0.1942071,0.49999198,no
4881,0.87036777,-0.008632286,-0.27256092,no
4900,0.29829705,0.0782437,-0.7528217,no
4921,0.3708943,-2.28E-04,-1.0448059,no
4940,0.8973818,0.08175623,-0.19231254,no
4960,1.4712396,0.17589541,0.66145366,no
4981,1.387875,0.16182591,0.67775285,no
5000,0.568877,0.015758144,0.31477058,no
5021,-0.30114773,0.07792755,-0.0159165,no
5040,-0.5636836,0.23728849,-0.6836554,no
5061,-0.28864992,0.36626115,-1.2326456,no
5080,0.097219385,0.3967501,0.21254615,no
5100,0.38421836,0.43966407,0.8740675,no
5121,-0.17882226,0.6591961,0.08743551,no
5140,-0.6229963,0.74813855,-1.209728,no
5161,-0.05928475,0.6049855,-0.87421054,no
5180,0.034519944,0.4592793,-0.106934585,no
5200,0.6745712,-0.55479836,0.19664922,no
5220,-1.8989023,0.6778491,-0.7175534,no
5241,-1.15258,-0.3395284,-1.8201292,no
5260,-1.5909358,-0.34938985,-1.7829146,no
5280,-1.7242309,-0.77757704,-1.5754727,no
5301,-0.96638054,-0.9443781,0.049723603,no
5320,-0.95263827,-0.9940412,0.90574414,no
5340,-1.1935253,-1.2448235,0.5959784,no
5361,-1.0450184,-1.067185,-0.16132835,no
5380,-0.47353593,-0.80085367,-1.2768384,no
5401,0.08535027,-0.4768147,-0.6728703,no
5420,-0.18021138,-0.61150026,-0.17360501,no
5441,-0.107052945,-0.521941,0.30358803,no
5460,0.042765953,0.05365873,0.67000645,no
5480,-0.5686281,0.8836745,1.0304228,no
5500,-0.7131812,0.9564945,1.347592,no
5520,-0.55509967,0.9914669,2.3735042,no
5540,0.04867142,0.95036906,1.547208,no
5561,0.37678027,0.7267238,-0.16370094,no
5580,0.5717775,0.70016134,-0.19675535,no
5601,0.8567257,0.62207454,0.4204846,no
5620,0.83876073,0.30398303,0.5397125,no
5640,0.4875644,0.095258884,-0.556112,no
5660,0.5412948,-0.08657673,-0.43789288,no
5682,0.13157474,0.11258549,-0.10491517,no
5700,0.5805926,0.46260732,-1.1818964,no
5721,0.6932926,0.883633,-1.4530933,no
5740,0.55222595,1.0419756,-0.7359265,no
5761,0.36284065,1.0795207,-0.90047145,no
5780,-0.50164944,1.2217883,0.023196027,no
5801,-0.7698446,1.633584,1.5244894,no
5820,-0.43638095,1.9434016,0.8963084,no
5840,0.27839977,2.3503597,-0.18104489,no
5861,1.1877692,2.4056516,-0.024851128,no
5880,1.406716,2.7239447,-0.13329987,no
5901,1.8682978,2.4440444,0.60696167,no
