Milliseconds,X,Y,Z,,ground truth
6500,2.8185925,-0.9028876,-0.46416903,,
6521,0.24819922,0.50326586,-0.1321683,,
6540,-1.4492781,1.7308035,1.0308876,,
6560,-0.64244604,1.9214954,2.8830433,,
6581,-3.621312,2.2070456,1.8813772,,
6600,-2.7031684,1.0546236,2.657341,,
6620,-3.1843402,-0.02784586,0.8720293,,
6641,-1.4031184,-1.561512,-0.4670925,,
6660,-1.1653883,-2.4108272,1.0156775,,
6680,-1.2578409,-3.435843,-0.23338509,,
6701,0.038203597,-3.3050225,-1.0965633,,
6720,-0.8411379,-1.204576,-1.7583447,,
6740,0.4450978,-0.51605654,-1.3882198,,
6761,0.6512729,0.05234003,-0.2563553,,
6780,-0.18435335,0.092196226,0.44834614,,
6801,-0.056349576,0.35712624,0.5242834,,
6820,1.1988213,-0.21918392,1.0910921,,
6841,1.1684816,-0.15033054,0.39871788,,
6861,2.0981476,-0.6190877,-0.7119932,,
6880,2.2430425,-1.8307366,0.7849512,,
6901,2.6537776,-0.80070066,-1.9828129,,
6921,4.3168445,-1.5629606,-2.285139,,
6940,3.7108307,-1.5092311,-0.92597294,,
6961,3.5954833,-3.1859694,1.9485474,,
6980,7.1916256,-4.757534,4.6080847,,
7001,7.0285234,-4.165261,2.3397007,,
7020,1.870053,-2.368949,1.590766,,
7041,-8.434422,2.2120194,3.847538,,
7060,-0.21107197,0.2548051,9.437143,,
7080,-1.6210513,-1.3818879,5.668949,,
7101,-5.1599884,-1.8351772,-3.1815848,,
7120,-6.5641384,-1.0644364,-5.885158,,
7141,-5.111004,-3.165183,-4.1761694,,
7160,-6.731048,-2.8683827,-4.680258,,
7180,-3.5404425,-1.6737344,-2.4985242,,
7201,-1.1700025,-1.8551877,-0.2776866,,
7220,-0.750031,-2.6950135,1.8623748,,
7240,1.8390045,-1.6083937,1.7211933,,
7261,-0.85275507,1.5064561,2.1001487,,
7280,-2.418479,3.3742697,2.6920533,,
7300,-2.0539618,3.02774,4.5075145,,
7320,-2.4283857,4.0214243,1.0885353,,
7341,-3.1795826,2.3706694,1.2365832,,
7360,-2.008491,1.1702551,2.30203,,
7380,0.13593149,-0.9604844,4.575213,,
7401,2.557807,-1.8131591,5.8017945,,
7420,-3.0620604,-3.5076272,6.0721583,,
7440,-3.311367,-1.6766496,-13.6789055,,
7461,2.1403008,-3.0901492,-5.648593,,
7480,0.025691032,-2.113865,-5.5261126,,
7500,0.9714813,-2.856801,1.0349188,,
7521,-1.5100317,-0.3855152,0.5720775,,
7540,-2.8909273,0.054994702,1.845567,,
7560,-1.7612734,0.33790445,-1.6007609,,
7581,0.5225048,-1.1656429,-1.132247,,
7600,0.7386627,-0.059637308,-1.699853,,
7620,1.4010715,0.2164073,2.9056976,,
7641,1.9121828,1.2130021,4.8318233,,
7660,0.047390938,4.142876,3.0137603,,
7681,-1.3699703,3.4764364,1.9395463,,
7700,-0.16156864,1.4855531,2.002522,,
7721,-0.016719818,1.8137445,-2.6975975,,
7740,2.1215105,0.116319954,-4.1887984,,
7761,2.7399664,-7.8152437,-0.117801666,,
7780,-4.492424,-0.71513677,5.72438,,
7800,-2.3858576,0.08194369,-6.4448366,,
7821,1.6957684,1.5754633,1.5604107,,
7840,-1.9132833,1.0994915,6.526066,,
7861,0.0056180954,0.01727122,1.3336041,,
7880,1.1937609,-0.13958085,0.7627325,,
7900,0.12631607,-1.0401685,-0.8290415,,
7921,0.20532417,-1.1586976,-0.538471,,
7940,-0.4833231,-0.9904888,-0.46441007,,
7961,-1.1954088,-0.46502388,0.08262944,,
7980,-2.9107685,0.4919052,-3.9964883,,
8000,-1.6382742,-1.1515607,0.19511175,,
8021,-0.92700005,-2.7386997,-0.26190877,,
8040,0.4291296,-2.2674103,1.043891,,
8060,1.5301876,0.18868244,0.59053516,,
8081,2.2317085,0.26588035,-0.4258747,,
8100,0.18811512,-0.95177364,-1.3651512,,
8120,0.1426878,-2.6116962,0.28039718,,
8141,-1.8978949,0.59941494,0.10762572,,
8160,0.33454227,1.7650986,1.8962398,,
8181,2.7586002,3.8178551,0.91543293,,
8200,1.8055925,1.1502963,0.7751894,,
8220,-0.27657413,-0.92373264,-0.5202246,,
8240,-1.2299051,-1.605266,-0.51020813,,
8261,-0.61779785,-1.7257122,0.8492999,,
8280,-0.45077515,-1.74282,1.9429855,,
8301,-0.0787611,-1.318991,0.88141394,,
8320,-0.4744053,-0.9373752,-1.080163,,
8340,-1.0478315,-4.7298,-3.066143,,
8360,-1.1948261,1.8739116,-5.044168,,
8381,1.8045559,1.5704756,-1.1847196,,
8400,0.9536114,1.495373,1.7084012,,
8421,-0.9299803,1.7549908,1.6050706,,
8440,-0.8574972,0.033394754,1.3804674,,
8461,-0.5847521,-1.0796609,0.14480591,,
8480,2.605569,-0.531329,0.3847146,,
8501,4.48934,-0.40381777,1.1173573,,
8521,3.306343,0.04537171,-0.3554182,,
8540,3.028944,0.16920555,1.307313,,
8561,1.0972519,0.8169141,0.78752565,,
8580,-1.4323082,0.5571563,-2.8217654,,
8601,-3.8578005,1.2649591,-5.9812646,,
8620,-5.5787525,-0.79572403,-2.7900496,,
8641,-3.1997757,-2.4706001,4.4335,,
8660,-1.5513124,-2.808537,4.8259177,,
8681,-1.6010666,-2.0156968,1.288558,,
8700,-0.38642502,-0.9098845,-2.2148561,,
8720,2.0337915,0.10359055,-1.8485923,,
8741,2.883686,1.0501235,-1.4903283,,
8760,2.4180717,1.0749313,-0.6433525,,
8780,1.1594,1.1193211,0.07674694,,
8801,-0.2068882,-0.08844967,1.2084403,,
8820,-1.4603491,-0.24889266,0.8492222,,
8841,-2.6230297,-1.4522076,0.5204911,,
8860,-3.2574096,-2.5086958,0.42556047,,
8880,-2.76361,-3.8441558,1.6638846,,
8901,-0.77345943,-3.0109625,-0.0650239,,
8920,-0.4127741,-3.1062753,0.16569757,,
8940,-0.7544327,-2.2193887,-2.2811747,,
8961,-2.0287075,-1.2831608,-3.2994657,,
8980,-1.1267843,-0.5817811,0.29128122,,
9001,-1.1432648,0.5884331,3.1340098,,
9020,0.6701374,-1.0348902,1.7338486,,
9040,1.1373501,1.3492817,2.1839714,,
9061,0.5723076,1.1507959,1.2930288,,
9080,1.1121073,1.4460478,0.97570944,,
9100,2.1137953,1.5686262,1.443141,,
9121,0.9294596,1.5893075,0.48363447,,
9140,0.78959084,0.71569353,0.596015,,
9160,1.2493668,0.10932216,0.537447,,
9181,0.5440321,-0.030069694,0.15877247,,
9200,-1.4281483,0.1092194,-0.5316491,,
9221,-1.9079123,0.06638594,-0.39704227,,
9240,-0.859108,0.3943149,-0.11159706,,
9260,-0.05773735,0.33731174,-0.2410636,,
9281,-0.5875015,0.04761763,0.054308414,,
9301,-2.095932,-0.6197213,-0.6160536,,
9320,-0.7011814,-1.0053295,1.1196237,,
9340,1.1106987,-0.99789757,1.4203272,,
9361,1.1150312,-0.5824211,1.256207,,
9381,-0.4439478,-0.18658215,0.053102493,,
9400,-1.1810455,-0.111161664,0.07955599,,
9420,-0.44717884,-0.049710654,-0.5233941,,
9441,-0.15053654,-0.87097555,0.71687937,,
9460,1.7208014,-1.4514321,1.1244597,,
9481,2.359746,-1.3673261,0.618659,,
9500,-0.39401817,-1.6592698,-0.10157633,,
9520,-1.0454397,-1.6519786,0.09227371,,
9540,-0.76035404,-1.1469152,0.27252436,,
9561,0.156497,-0.43839794,0.2591195,,
9580,0.6107664,-0.5005207,0.12763357,,
9600,-1.1867781,-1.0440232,0.36182308,,
9620,-0.47689152,-1.69686,0.98923826,,
9640,0.6267395,-0.3269238,1.2934852,,
9661,-0.09800148,0.028331637,0.20497513,,
9680,-1.1293392,-0.21940118,-0.0006341934,,
9700,-2.0492086,-0.80870956,-0.1955862,,
9720,0.21433258,-1.8395815,2.182423,,
9741,-0.20975685,-1.310596,2.841134,,
9760,-0.43629074,-1.4971677,1.0112228,,
9780,-1.1736345,-0.565909,0.17089081,,
9800,-1.5795307,0.5340897,-3.7114801,,
9821,0.17034245,0.37117434,-3.699103,,
9840,2.002946,0.30882978,-0.7724447,,
9860,1.3775625,0.64845836,0.47020698,,
9880,0.71263695,-2.4166682,1.8519034,,
9901,0.8518286,1.0169659,-0.31077313,,
9920,0.92359257,1.8805928,0.19463134,,
9940,0.9390917,1.8012016,-0.4779005,,
9961,-1.1832333,-0.8143282,-1.2080636,,
9980,0.19984627,-0.9469117,0.6676345,,
10000,0.58701134,0.20035148,0.47597718,,
10020,0.040545464,0.24168646,0.10809684,,
10040,-0.70901203,0.53677666,-0.30778933,,
10060,-2.4135494,-0.21268082,-1.1761537,,
10081,-1.8628349,-0.6422049,-0.41313505,,
10101,0.3044243,-0.1195271,0.35439467,,
10120,1.7533512,1.1855899,0.21389723,,
10141,2.353405,2.0561385,-1.5761964,,
10160,-1.1851082,-1.4791685,0.13630629,,
10181,-1.301301,-2.5009766,1.7363758,,
10200,-0.41966724,-1.1332796,1.0258079,,
10221,0.12351322,0.50306237,0.107687,,
10240,0.3680296,0.54647136,-0.025381804,,
10261,0.40016747,-0.40708208,-0.098954916,,
10280,0.09309101,-1.5620246,0.23013306,,
10301,1.1897545,-0.74337256,-0.25811267,,
10320,0.44166756,0.4525193,-0.436064,,
10341,0.04049301,0.62805355,-0.6291926,,
10360,-0.067718506,0.51618123,0.1283958,,
10380,0.58269787,-0.2648307,-0.03431511,,
10401,0.8515425,0.16738331,1.169112,,
10420,0.31376553,-0.039899826,0.5410378,,
10441,-0.9083929,0.9508091,-0.76152277,,
10460,-1.155633,0.8119178,-0.50487304,,
10480,-0.029213905,-0.062220693,0.3586216,,
10500,-0.36898327,-1.5397613,0.067024946,,
10521,-0.85308075,-2.0780873,0.014904022,,
10540,-0.5678921,-1.2947131,-0.543082,,
10560,-0.9038191,0.05305147,-1.1920538,,
10581,0.031853676,-0.37094367,-0.12991023,,
10600,-0.33048534,-0.4334432,-0.21599364,,
10620,-0.13410282,-0.920787,0.8561897,,
10640,0.06699467,-0.7689581,-0.016843796,,
10661,0.022406578,0.03697586,0.10974789,,
10680,0.79679966,0.25842643,0.0840621,,
10701,-0.8706627,-0.24844885,0.08460283,,
10720,-0.03956604,-1.2182839,0.61159897,,
10740,1.2996902,0.87252593,0.27043772,,
10761,0.589303,1.0184131,-0.07318115,,
10780,0.01667881,0.4626,0.3527689,,
10800,-1.3659706,0.23843348,-0.072836876,,
10821,-0.5903063,-0.6044066,0.9423957,,
10840,0.73390484,-0.389089,1.2318182,,
10860,0.5233965,-0.22149777,0.63515854,,
10881,-0.627758,-0.16340137,0.03814411,,
10901,-0.60781956,0.46902072,0.1484456,,
10920,-0.9067955,-0.37388003,0.16737604,,
10941,-0.53608227,-0.8744477,0.077215195,,
10960,0.4788189,0.49582887,-0.5627916,,
10981,0.70831585,0.047283173,-0.0017046928,,
11001,-0.36706734,-0.23475683,0.2775786,,
11020,-0.769413,-0.18525732,0.5470545,,
11041,-0.25986767,0.1447519,0.80034995,,
11060,0.52850246,0.112368226,0.03874755,,
11081,-0.017484665,-0.87247455,-0.13353682,,
11100,-0.34711838,-1.0768791,0.19115973,,
11121,0.3855791,-1.0331583,0.43427896,,
11140,-0.1291933,-0.5282843,0.35900593,,
11160,-0.57615376,-0.17186356,-0.02236414,,
11181,-0.25288105,-0.22644281,0.056838512,,
11200,0.6687393,0.26017463,0.42355442,,
11220,0.8855915,-0.015883684,0.42277384,,
11240,-0.046341896,-0.58844054,0.32861376,,
11260,-0.6930294,-0.49439478,0.3389933,,
11281,0.012131691,0.7009026,0.24920297,,
11300,0.69396305,0.80388916,0.40502977,,
11320,0.2575388,0.34779882,0.5138762,,
11341,-0.9583416,-0.054356575,0.5584042,,
11360,-1.0501213,-0.3235178,0.3933921,,
11380,-0.16359138,-0.06843281,0.875329,,
11400,0.20510864,0.28508365,0.49217987,,
11421,-0.49300575,-0.36228728,0.036295652,,
11440,-0.6106558,-1.1887087,0.055053473,,
11460,0.28279972,-1.0308808,0.28581762,,
11481,1.091938,-0.065335155,-0.36249113,,
