Milliseconds,X,Y,Z,ground truth
4482,0.35353017,-0.18003733,-0.2896517,no
4501,0.31038696,-0.3877639,-0.3509044,no
4522,0.13941202,-0.23862687,-0.42227712,no
4541,-0.06511875,-0.25460583,-0.44091925,no
4561,-0.06405348,-0.2652585,-0.43292975,no
4582,-0.034758717,-0.19495103,-0.39191708,no
4601,0.10532356,-0.025041346,-0.321077,no
4621,0.32317013,0.24234003,-0.23372532,no
4642,0.30293012,0.30039695,-0.21242003,no
4661,0.061647717,-0.056999277,-0.28112957,no
4682,-0.16205679,-0.4181215,-0.39351267,no
4701,-0.42943817,-0.38243514,-0.37220737,no
4721,-0.6914933,-0.29827923,-0.36847895,no
4742,-0.62225103,0.19547084,-0.43079692,no
4761,-0.39801285,0.28868148,-0.53306234,no
4782,-0.28349692,0.034615908,-0.48725596,no
4801,-0.32397696,-0.19175279,-0.34770632,no
4821,-0.2845622,-0.3009424,-0.1261313,no
4842,-0.19081894,-0.2066665,0.034723632,no
4861,-0.10772831,-0.051670514,-0.021735383,no
4881,-0.19135156,0.010647458,-0.09736916,no
4901,-0.37351176,0.15978448,-0.023865912,no
4922,-0.5045393,0.12569602,0.034190997,no
4941,-0.5791078,-0.29881188,0.0048962273,no
4961,-0.40546972,-0.6311744,-0.20815666,no
4981,-0.38150126,-0.62371755,-0.33971682,no
5002,-0.47364664,-0.2796371,-0.31042206,no
5021,-0.5157246,0.11983707,-0.19164506,no
5042,-0.5854994,0.1832203,-0.09896705,no
5061,-0.74741966,-0.1688496,-0.06967228,no
5081,-0.6345016,-0.43143728,-0.07606387,no
5101,-0.334097,-0.48363525,-0.1740682,no
5122,-0.23396215,-0.31372556,-0.17033978,no
5141,-0.36126125,-0.19175279,-0.11547866,no
5161,-0.5743142,-0.22371073,-0.15223028,no
5182,-0.51039827,-0.3488793,-0.19910191,no
5201,-0.33516225,-0.45913416,-0.32160732,no
5221,-0.123174645,-0.43090466,-0.15649134,no
5242,-0.09973883,-0.39415303,0.12207532,no
5261,-0.1439473,-0.42131728,0.34098718,no
5282,-0.27124637,-0.5997491,0.69518757,no
5301,-0.28030112,-0.68230706,0.8528467,no
5321,-0.070444055,-0.46712366,1.0328764,no
5342,0.13834777,-0.14381589,1.3423357,no
5361,0.15752254,0.050062243,1.607054,no
5381,-0.07523774,0.1933403,1.7881489,no
5401,-0.29894325,0.21517824,1.7956058,no
5422,-0.4363624,0.26524565,1.7652457,no
5441,-0.46246135,0.5358228,1.7103846,no
5461,-0.48003823,0.8378253,1.5324855,no
5481,-0.47897297,0.79841053,1.353521,no
5502,-0.4352971,0.41704583,1.2272872,no
5521,-0.20147158,0.112380214,1.1260871,no
5541,-0.10613041,0.35046682,0.96043843,no
5561,-0.3026717,1.049813,0.801714,no
5583,-0.4331666,1.4892346,0.6376633,no
5601,-0.33516225,1.4333082,0.49118945,no
